BLZ;BIC;Institut;HBCI-Version;PIN/TAN-Zugang URL
16050101;WELADED1PRP;Sparkasse Prignitz;300;https://banking-bb6.s-fints-pt-bb.de/fints30
16050202;WELADED1OPR;Sparkasse Ostprignitz-Ruppin;300;https://banking-bb6.s-fints-pt-bb.de/fints30
16060122;GENODEF1PER;Volks- und Raiffeisenbank Prignitz eG;300;https://hbci-pintan.gad.de/cgi-bin/hbciservlet
16061938;GENODEF1NPP;Raiffeisenbank Ostprignitz-Ruppin eG;300;https://hbci-pintan.gad.de/cgi-bin/hbciservlet
16062008;GENODEF1LUK;Volksbank Teltow-Fläming eG;300;https://hbci-pintan.gad.de/cgi-bin/hbciservlet
16062073;GENODEF1BRB;Brandenburger Bank Volksbank-Raiffeisenbank eG;300;https://hbci-pintan.gad.de/cgi-bin/hbciservlet
16091994;GENODEF1RN1;Volksbank Rathenow eG;300;https://hbci-pintan.gad.de/cgi-bin/hbciservlet
17020086;HYVEDEMM471;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
17052000;WELADED1GZE;Sparkasse Barnim;300;https://banking-bb6.s-fints-pt-bb.de/fints30
17052302;WELADED1UMX;Stadtsparkasse Schwedt;300;https://banking-bb6.s-fints-pt-bb.de/fints30
17054040;WELADED1MOL;Sparkasse Märkisch-Oderland;300;https://banking-bb6.s-fints-pt-bb.de/fints30
17055050;WELADED1LOS;Sparkasse Oder-Spree;300;https://banking-bb6.s-fints-pt-bb.de/fints30
17056060;WELADED1UMP;Sparkasse Uckermark;300;https://banking-bb6.s-fints-pt-bb.de/fints30
17062428;GENODEF1BKW;Raiffeisen-Volksbank Oder-Spree eG;300;https://hbci-pintan.gad.de/cgi-bin/hbciservlet
17092404;GENODEF1FW1;Volks- und Raiffeisenbank Fürstenw. Seelow Wriezen eG;300;https://hbci-pintan.gad.de/cgi-bin/hbciservlet
18020086;HYVEDEMM472;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
18050000;WELADED1CBN;Sparkasse Spree-Neiße;300;https://banking-bb6.s-fints-pt-bb.de/fints30
18051000;WELADED1EES;Sparkasse Elbe-Elster;300;https://banking-bb6.s-fints-pt-bb.de/fints30
18055000;WELADED1OSL;Sparkasse Niederlausitz;300;https://banking-bb6.s-fints-pt-bb.de/fints30
18062678;GENODEF1FWA;NL Bank Volks- und Raiffeisenbank eG;300;https://hbci-pintan.gad.de/cgi-bin/hbciservlet
18062758;GENODEF1FOR;Volks- und Raiffeisenbank Forst eG;300;https://hbci-pintan.gad.de/cgi-bin/hbciservlet
18092684;GENODEF1LN1;Spreewaldbank eG Volksbank-Raiffeisenbank;300;https://hbci-pintan.gad.de/cgi-bin/hbciservlet
18092744;GENODEF1SPM;Volksbank Spremberg-Bad Muskau eG;300;https://hbci-pintan.gad.de/cgi-bin/hbciservlet
20010020;PBNKDEFFXXX;Postbank (Giro);;https://hbci.postbank.de/banking/hbci.do
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
20030000;HYVEDEMM300;UniCredit Bank - HypoVereinsbank AG;300;https://hbci-01.hypovereinsbank.de/bank/hbci
